field,mapped_table,mapped_column,possible_other_options
Expression of Ideas Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Standard English Conventions Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Heart of Algebra Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Problem Solving and Data Analysis Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Passport to Advanced Mathematics Sub Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentperformancelevel', 'performanceleveldescriptorid'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Analysis in History/Soc Studies Cross-Test Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
Analysis in Science Cross-Test Score,assessmentitem,maxrawscore,"[('assessmentscorerangelearningstandard', 'maximumscore'), ('graduationplanrequiredassessmentscore', 'maximumscore'), ('objectiveassessment', 'maxrawscore'), ('objectiveassessmentlearningstandard', 'learningstandardid'), ('studentassessmentperformancelevel', 'performanceleveldescriptorid'), ('studentassessmentstudentobjectiveassessmentscoreresult', 'result')]"
SID,contact,contactusi,"[('credentials', 'studentusi'), ('dorf', 'studentusi'), ('enrollments', 'studentusi'), ('generalstudentprogramassociation', 'studentusi'), ('staff', 'staffusi'), ('student', 'studentusi'), ('studentassessmentregistration', 'studentusi'), ('studenteducationorganizationassociation', 'studentusi'), ('studenteducationorganizationassociationstudentidentifica_c15030', 'studentusi'), ('studentschoolassociation', 'studentusi'), ('studentspecialeducationprogramassociation', 'studentusi'), ('transcripts', 'studentusi')]"
Last Name,contact,lastsurname,"[('disciplineincidentexternalparticipant', 'lastsurname'), ('staff', 'lastsurname'), ('student', 'lastsurname')]"
First Name,contact,firstname,"[('disciplineincidentexternalparticipant', 'firstname'), ('staff', 'firstname'), ('staff', 'preferredfirstname'), ('student', 'firstname')]"
Local ID,dorf,identifier,"[('student', 'studentlocalid'), ('studenteducationorganizationassociationstudentidentifica_c15030', 'identificationcode')]"
Campus,enrollments,student_campus,"[('school', 'schoolid'), ('studentassessmenteducationorganizationassociation', 'educationorganizationid'), ('studentassessmentregistration', 'schoolid'), ('studentschoolassociation', 'campusofaccountability')]"
TX Unique Student ID,generalstudentprogramassociation,studentusi,"[('student', 'teaid'), ('studentassessment', 'studentusi'), ('studenteducationorganizationassociationstudentidentifica_c15030', 'identificationcode'), ('studentschoolassociation', 'studentusi')]"
